Population,ASR (World) per 100 000
,
Afghanistan,37.87
Albania,51.66
Algeria,51.03
Angola,47.75
Argentina,62.22
Armenia,40.52
Australia,135.13
Austria,69.67
Azerbaijan,49.65
Bahamas,48.37
Bahrain,22.32
Bangladesh,35.5
Barbados,56.1
Belarus,73.08
Belgium,79.78
Belize,27.43
Benin,26.6
Bhutan,20.09
Bolivia,48.24
Bosnia Herzegovina,63.01
Botswana,50.73
Brazil,54.85
Brunei Darussalam,54.1
Bulgaria,57.44
Burkina Faso,41.55
Burundi,39.5
Cambodia,43.34
Cameroon,42.9
Canada,76.94
Cape Verde,24.46
Central African Republic,32.48
Chad,47.53
Chile,44.75
China,64.14
Colombia,50.81
Comoros,36.47
"Congo, Democratic Republic of",29.72
"Congo, Republic of",22.26
Costa Rica,49.4
Croatia,79.03
Cuba,48.95
Cyprus,88.58
Czechia,65.28
C?te d'Ivoire,44.26
Denmark,87.2
Djibouti,33.02
Dominican Republic,52.17
Ecuador,45.26
Egypt,54.28
El Salvador,41.11
Equatorial Guinea,41.74
Eritrea,36.64
Estonia,62.44
Eswatini,64.16
Ethiopia,42.78
Fiji,72.42
Finland,66.92
France (metropolitan),87.18
"France, Guadeloupe",61.44
"France, La R?union",50.88
"France, Martinique",45.48
French Guyana,39.24
French Polynesia,48.49
Gabon,42.21
Gaza Strip and West Bank,42.73
Georgia,50.78
Germany,57.71
Ghana,48.78
Greece,61.93
Guam,33.83
Guatemala,32.49
Guinea,44.54
Guinea-Bissau,34.27
Guyana,38.07
Haiti,39.49
Honduras,44.26
Hungary,86.6
Iceland,60.48
India,32.64
Indonesia,51.66
"Iran, Islamic Republic of",42.62
Ireland,44.74
Israel,72.81
Italy,67.81
Jamaica,79.65
Japan,56.73
Jordan,61.19
Kazakhstan,54.71
Kenya,38.73
"Korea, Democratic People Republic of",36.38
"Korea, Republic of",42.32
Kuwait,77.66
Kyrgyzstan,25.68
Lao People's Democratic Republic,33.45
Latvia,52.24
Lebanon,72.03
Lesotho,52.11
Liberia,40.65
Libya,42.48
Lithuania,36.77
Luxembourg,71.42
Madagascar,63.32
Malawi,42.15
Malaysia,83.45
Maldives,47.46
Mali,33.26
Malta,50.36
Mauritania,75.89
Mauritius,36.56
Mexico,39.45
Moldova,47.78
Mongolia,61.69
Montenegro,42.44
Morocco,53.97
Mozambique,51.36
Myanmar,70.59
Namibia,45.66
Nepal,67.4
New Caledonia,26.43
New Zealand,62.85
Nicaragua,119.1
Niger,38.56
Nigeria,39.56
North Macedonia,27.71
Norway,47.49
Oman,81.33
Pakistan,34.22
Panama,40.3
Papua New Guinea,46.38
Paraguay,55.33
Peru,58.48
Philippines,52.45
Poland,53.09
Portugal,56.79
Puerto Rico,89.31
Qatar,67.42
Romania,22.26
Russian Federation,71.99
Rwanda,68.68
Saint Lucia,28.45
Samoa,42.02
Sao Tome and Principe,54.14
Saudi Arabia,28.11
Senegal,31.75
Serbia,41.95
Sierra Leone,59.49
Singapore,16.62
Slovakia,65.98
Slovenia,57.92
Solomon Islands,74.77
Somalia,57.29
South Africa,40.15
South Sudan,54.6
Spain,30.8
Sri Lanka,70.03
Sudan,32.06
Suriname,32.72
Sweden,49.59
Switzerland,75.12
Syrian Arab Republic,65.28
Tajikistan,40.18
"Tanzania, United Republic of",33.62
Thailand,34.48
The Netherlands,48.09
The Republic of the Gambia,81.42
Timor-Leste,40.06
Togo,28.38
Trinidad and Tobago,34.28
Tunisia,58.59
Turkmenistan,43.5
T?rkiye,40.35
Uganda,66.09
Ukraine,56.44
United Arab Emirates,56.89
United Kingdom,15.28
United States of America,70.5
Uruguay,87.2
Uzbekistan,71.17
Vanuatu,39.37
Venezuela,43.11
Viet Nam,49.29
Yemen,44.69
Zambia,36.82
Zimbabwe,54.61
Zimbabwe,59.01
