country,total,men,women,
Afghanistan,37,52,26.6,
Albania,98.8,98.6,99,
Algeria,,,74.2,
Angola,66.2,83.8,51.9,
Armenia,99.8,99.7,99.9,
Azerbaijan,100,100,100,
Bahrain,98,99,96,
Bangladesh,79,81,77,
Belarus,100,100,100,
Belize,90.9,90.2,91.6,
Benin,51.4,62.6,41.5,
Bhutan,67,75,57,
Bolivia,94,97,91,
Brazil,93,93,93,
Burkina Faso,40.9,49.8,33.7,
Burma,89,92,86,
Burundi,68,76,61,
Cabo Verde,87,92,82,
Cambodia,71.9,81.5,63.6,
Cameroon,72.5,79.7,66.2,
Central African Republic,42.4,59.8,27.1,
Chad,30.6,44.5,18.6,
Chile,96,96,96,
China,97,98,95,
Colombia,96,95,96,
"Congo, Democratic Republic of the",73.6,87.5,61.6,
Cote d'Ivoire,50,60.2,40.3,
Cuba,97.7,99,96.4,
Dominican Republic,94,94,87.4,
Ecuador,94,95,93,
Egypt,71,76,66,
El Salvador,90,92,88,
Eswatini,90.7,91.1,90.4,
Ethiopia,47.5,62.6,40.4,
Fiji,,,92.4,
Gabon,88.9,90.8,87.1,
"Gambia, The",51.6,65.3,40.5,
Gaza Strip,98,99,97,
Georgia,99.6,99.5,99.6,
Ghana,76.5,81.3,72.1,
Guatemala,83,88.4,78.6,
Guinea,40,54,28,
Guinea-Bissau,63.9,77.3,52.2,
Guyana,85.6,84.2,86.9,
Haiti,68,72.9,63.9,
Honduras,89,88,89,
India,82,88,75,
Indonesia,96,97,95,
Iran,86,90,81,
Iraq,86,91,76.3,
Italy,99,99,99,
Jordan,95,97,92,
Kiribati,98,97.3,98.6,
"Korea, South",NA,NA,NA,
Kuwait,96,97,95,
Laos,85,90,79,
Lebanon,93,95,90,
Lesotho,86.2,80.2,91.8,
Madagascar,74.7,77.9,71.8,
Malawi,70.2,78.6,62.7,
Malaysia,96,97,95,
Maldives,98.2,98.2,98.3,
Mali,35,46,26,
Mauritania,59.5,70.1,51.8,
Mauritius,93,95,91,
Mexico,95,96,94,
Mongolia,98.7,98.5,98.9,
Montenegro,98.5,99.1,97.9,
Mozambique,60,72,49,
Nauru,96.6,93.4,99.7,
Nepal,68.7,79.7,59.4,
Niger,35.6,47.9,25.7,
Nigeria,63.2,73.7,53.3,
North Macedonia,,,97.8,
Oman,97,99,95,
Pakistan,58.9,69.1,48.5,
Palau,97,97,96,
Panama,96,96,95,
Papua New Guinea,70.1,78.4,61.6,
Paraguay,95,95,94,
Peru,94,97,92,
Philippines,98,98,97,
Puerto Rico,92,92,92,
Romania,99,99,99,
Rwanda,79,81,77,
Samoa,98,98.3,97.7,
San Marino,100,100,100,
Sao Tome and Principe,87.4,92.5,82.8,
Saudi Arabia,98,99,96,
Senegal,50.4,61.5,41.5,
Serbia,99,100,99,
Sierra Leone,43.6,54.6,33.9,
Singapore,98,99,96,
Somalia,54,65,44,
South Africa,90,91,89,
Spain,100,100,100,
Sri Lanka,93,93,92,
Syria,94,97,92,
Tajikistan,,,94.6,
Tanzania,78,83,73,
Thailand,91.1,90.7,91.5,
Timor-Leste,65.8,72.2,59.6,
Togo,72.6,82.8,63.7,
Tonga,91.1,83.8,97.6,
Trinidad and Tobago,,,93.8,
Tunisia,86.2,92.7,80.1,
Turkey (Turkiye),97,99,95,
Turkmenistan,,,99.6,
Uganda,69.1,78.5,61,
Ukraine,100,100,100,
United Arab Emirates,98,99,97,
Uruguay,99,99,99,
Uzbekistan,100,100,100,
Vanuatu,88,87.7,88.2,
Venezuela,97,97,97,
Vietnam,96,97,95,
West Bank,98,99,97,estimates are for Gaza and the West Bank
Yemen,,,54.1,
Zambia,71.1,81.7,62.2,
,,,,
,,,,
,,,,
,,,,
